CASH,SHORT_TERM_INV,NOTES_RECEIVABLE,ACCTS_RECEIVABLE,ACCTS_NOT_COLLECT,NOTES_ACC_REC_NET,PARTS_SUPPLIES_NET,PREPAID_ITEMS,CURR_ASSETS_OTH,CURR_ASSETS,INVEST_ASSOC_COMP,INVEST_REC_OTH,SPECIAL_FUNDS,INVEST_SPEC_FUNDS,FLIGHT_EQUIP,PROP_EQUIP_GROUND,DEPR_PR_EQ_GROUND,PROP_EQUIP_NET,LAND,EQUIP_DEP_ADV_PAY,CONSTRUCTION,LEASED_PROP_CAP,LEASED_PROP_ACC,PROP_EQUIP,PROP_EQUIP_NON_OP,DEPR_PR_EQ_NON_OP,PROP_EQUIP_NO_TOT,PRE_PAY_LONG_TERM,NON_AMORT_DEV,ASSETS_OTH_DEF,ASSETS_OTHER,ASSETS,LONG_DEBT_CUR_MAT,NOTES_PAY_BANKS,NOTES_PAY_OTHER,ACCTS_PAY_TRADE,ACCTS_PAY_OTHER,CURR_OB_CAP_LEASE,ACCR_SALARIES,ACCR_VACATION,ACCR_INTEREST,ACCR_TAXES,DIVIDENDS,LIAB_AIR_TRAFFIC,CURR_LIAB_OTH,CURR_LIABILITIES,LONG_TERM_DEBT,ADV_ASSOC_COMP,PENSION_LIAB,NON_REC_OB_CAP_LS,NON_REC_LIAB_OTH,NON_REC_LIAB,DEF_TAXES,DEF_TAX_CREDITS,DEF_CREDITS_OTH,DEF_CREDITS,PF_SHARES,PF_SHARES_NUM,COM_SHARES,UNISSUED_STOCK,CAPITAL_STOCK,ADD_CAPITAL_INV,PAID_IN_CAPITAL,RET_EARNINGS,SH_HLD_EQUITY,TREAS_STOCK_NUM,SH_HLD_EQUIT_NET,LIAB_SH_HLD_EQUITY,AIRLINE_ID,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,CARRIER,CARRIER_NAME,UNIQUE_CARRIER_ENTITY,REGION,CARRIER_GROUP_NEW,CARRIER_GROUP,YEAR,QUARTER
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,,,,,,,,0.00,20371,RLQ,Reliant Airlines,RLQ,Reliant Airlines,06773,S,1,1,2001,2
,,,4169.38,219.02,3950.36,256.13,40.19,,4246.67,,,,,52815.61,1862.91,18789.06,35889.47,,,,633.26,142.48,36380.24,,,,,,500.00,500.00,41126.90,,,,5650.34,1334.76,42.99,874.34,293.43,,52.69,,,2107.95,10356.49,,30151.39,,488.84,,30640.23,-20.70,,482.21,461.52,,,,,,2056.40,2056.40,-2387.73,-331.33,,-331.33,41126.90,20169,L2,Lynden Air Cargo Airlines,L2,Lynden Air Cargo Airlines,06699,D,1,1,2001,3
,,,5359.57,386.00,4973.57,90.23,16.64,,5080.44,,,,,51071.94,1900.02,15551.10,37420.86,,,,633.26,110.82,37943.30,,,,,,575.00,575.00,43598.74,,,,4640.96,1054.16,42.99,390.25,200.93,,81.61,,,2830.59,9241.49,,36007.77,,510.32,,36518.09,-15.72,,500.00,484.28,,,,,,1705.00,1705.00,-4350.12,-2645.12,,-2645.12,43598.74,20169,L2,Lynden Air Cargo Airlines,L2,Lynden Air Cargo Airlines,06699,D,1,1,2001,1
,,,5820.67,407.82,5412.84,40.21,71.27,,5524.33,,,,,51717.29,1878.40,17295.43,36300.26,,,,633.26,126.65,36806.87,,,,,,537.50,537.50,42868.69,,,,5264.91,1142.77,42.99,703.45,293.43,,134.89,,,2591.53,10173.96,,33092.29,,499.90,,33592.19,-24.70,,500.00,475.30,,,,,,1878.70,1878.70,-3251.47,-1372.77,,-1372.77,42868.69,20169,L2,Lynden Air Cargo Airlines,L2,Lynden Air Cargo Airlines,06699,D,1,1,2001,2
,,,8710.46,151.66,8558.80,511.46,237.82,,9308.08,,,,,53889.39,1837.43,20432.21,35294.61,,,,633.26,158.31,35769.55,,,,,,462.50,462.50,45540.13,,,,5963.20,1472.94,48.35,765.34,353.91,,39.62,,,2704.68,11348.04,,29520.33,,472.19,,29992.52,6.35,,500.00,506.35,,,,,,2226.00,2226.00,1467.21,3693.21,,3693.21,45540.13,20169,L2,Lynden Air Cargo Airlines,L2,Lynden Air Cargo Airlines,06699,D,1,1,2001,4
,,,9086.43,100.00,8986.43,923.04,2933.78,2474.33,15317.58,,,,,66934.92,25045.00,43409.40,48570.52,,,,,,48570.52,,,,,,8639.50,8639.50,72527.60,,,,9241.94,,,812.66,900.00,,229.82,,,24632.76,35817.18,,,,,35690.30,35690.30,,,,,,,,,,40015.85,40015.85,-38995.73,1020.12,,1020.12,72527.60,19874,8C,Air Transport International,8C,Air Transport International,06029,D,2,2,2001,4
,728.91,1963.13,176642.87,5642.93,172963.07,4025.76,32868.11,,210585.85,,-192.73,,-192.73,333685.62,433124.94,365457.29,401353.26,,,1968.64,,,403321.90,,,,2770.08,,3689.03,6459.11,620174.13,6879.59,,,95727.68,33692.90,,33218.04,22004.09,,-34255.69,,,17650.91,174917.52,350060.46,,,15549.91,44965.71,410576.08,23761.64,,,23761.64,,,0.18,,0.18,141728.48,141728.66,-36888.40,104840.26,93921.37,10918.89,620174.13,20357,ER,"Astar USA, LLC",ER,DHL Airways,06170,D,3,3,2001,1
,728.91,3513.62,168228.83,5205.76,166536.68,9923.02,29098.75,,206287.37,,-174934.64,,-174934.64,,810128.05,385360.18,424767.88,,,6645.14,,,431413.02,,,,3732.56,,3688.89,7421.44,470187.19,3095.36,,,98767.68,5689.69,,22741.87,23452.10,,-34036.79,,,276097.32,395807.21,13643.10,,,14989.80,44693.90,73326.80,23761.64,,,23761.64,,,0.18,,0.18,176676.40,176676.58,-105463.66,71212.92,93921.37,-22708.46,470187.19,20357,ER,"Astar USA, LLC",ER,DHL Airways,06170,D,3,3,2001,2
,3248.56,,11759.65,896.62,10863.03,1032.92,1355.93,-10.09,16490.35,,,,,95186.07,18699.41,53626.55,60258.93,,,126.49,,,60385.42,2217.33,1112.46,1104.88,,362.72,,362.72,78343.36,,,,7214.68,,,37.57,,36.95,266.66,,,10242.49,17798.35,57830.13,,,,358.14,58188.27,,,,,,,0.50,,0.50,5.68,6.18,2350.56,2356.74,,2356.74,78343.36,20151,M6,Amerijet International,M6,Amerijet International,06052,D,1,1,2001,3
-77105.00,1567782.00,2837.00,88343.00,8135.00,83045.00,77235.00,80110.00,28191.00,1759258.00,8307.00,,,8307.00,7134466.00,758718.00,2289527.00,5603657.00,27588.00,402180.00,96997.00,182564.00,105763.00,6207223.00,,,,1725.00,,30038.00,31763.00,8006551.00,481665.00,,,92508.00,166083.00,8489.00,44740.00,80980.00,10529.00,86907.00,,522084.00,445360.00,1939345.00,649840.00,,,101776.00,22641.00,774257.00,1063933.00,,279356.00,1343289.00,,,764607.00,,764607.00,15352.00,779959.00,3169701.00,3949660.00,,3949660.00,8006551.00,19393,WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,06725,D,3,3,2001,3
-44340.00,2323899.00,2824.00,72027.00,4798.00,70053.00,69643.00,60359.00,46400.00,2526014.00,8318.00,,,8318.00,7351402.00,768954.00,2346845.00,5773511.00,27706.00,468154.00,100756.00,182717.00,107953.00,6444891.00,,,,,,28611.00,28611.00,9007834.00,505875.00,,,32052.00,285046.00,8692.00,45887.00,83105.00,20110.00,55546.00,3437.00,450407.00,759721.00,2249878.00,1226582.00,,,100576.00,23686.00,1350844.00,1058143.00,,334916.00,1393059.00,,,766774.00,,766774.00,50409.00,817183.00,3196870.00,4014053.00,,4014053.00,9007834.00,19393,WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,06725,D,3,3,2001,4
-31421.00,716089.00,2910.00,133910.00,5438.00,131382.00,78499.00,126669.00,28132.00,1049350.00,8561.00,,,8561.00,6925633.00,718702.00,2129831.00,5514504.00,27123.00,286969.00,76003.00,182563.00,101378.00,5985784.00,,,,10458.00,,21571.00,32029.00,7075724.00,101929.00,,,48164.00,131432.00,8207.00,42206.00,74708.00,12489.00,61297.00,,504846.00,513014.00,1498292.00,650798.00,,,103888.00,11579.00,766265.00,891186.00,,277875.00,1169061.00,,,761826.00,,761826.00,,761826.00,2894727.00,3656553.00,14447.00,3642106.00,7075724.00,19393,WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,06725,D,3,3,2001,1
-23448.00,992763.00,2861.00,136430.00,5774.00,133517.00,78465.00,125451.00,28191.00,1334939.00,8371.00,,,8371.00,7059275.00,743456.00,2214056.00,5588675.00,27124.00,325204.00,84042.00,182564.00,103571.00,6104038.00,,,,10083.00,,21634.00,31717.00,7479065.00,102105.00,,,59615.00,127035.00,8396.00,42742.00,77613.00,18737.00,90234.00,,510103.00,603142.00,1639722.00,649809.00,,,102793.00,11741.00,764343.00,971452.00,,281994.00,1253446.00,,,762829.00,,762829.00,5996.00,768825.00,3052729.00,3821554.00,,3821554.00,7479065.00,19393,WN,Southwest Airlines Co.,WN,Southwest Airlines Co.,06725,D,3,3,2001,2
